#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Órganos de gobierno,912,21300,2019-03-28,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",0.7
Órganos de gobierno,912,22699,2019-03-28,G28783991,FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS,Fra. CUOTA EXTRA XII PLENO FEMP 2019,112.46
Órganos de gobierno,912,22699,2019-03-28,G28783991,FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS,Fra. CUOTA ASOCIADO FEMP 2019,703.52
Órganos de gobierno,912,22706,2019-03-28,A28571750,SUPERMERCADOS HIBER SA,Fra.  Alimentos  colegio San Miguel Arcangel,28.93
Órganos de gobierno,912,22706,2019-03-28,A28571750,SUPERMERCADOS HIBER SA,Fra. colegio raso  Adquisicion de alimentos,22.66
Órganos de gobierno,912,22706,2019-03-28,A28571750,SUPERMERCADOS HIBER SA,Fra. colegio Fontenebro,23.38
Órganos de gobierno,912,22706,2019-03-28,A28571750,SUPERMERCADOS HIBER SA,Fra. Expediente 623/2019 Desayunos saludables,21.17
Órganos de gobierno,912,22706,2019-03-28,A28571750,SUPERMERCADOS HIBER SA,Fra. colegio el raso,1.6
Órganos de gobierno,912,22706,2019-03-28,G28783991,FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS,Fra. CUOTA ASOCIADO RED CIUDADES SALUDABLES 2019,500.0
Órganos de gobierno,912,22706,2019-03-28,A28571750,SUPERMERCADOS HIBER SA,Fra.Alimentos  colegio San Miguel Arcangel,28.29
Administración General ,920,21300,2019-03-28,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",12.14
Administración General ,920,21300,2019-03-28,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",33.15
Administración General ,920,21300,2019-03-28,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",43.48
Administración General ,920,21300,2019-03-28,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",20.39
Administración General ,920,21601,2019-03-28,B86834421,CODEVINCE DESARROLLO WEB SL,Fra. Mantenimiento web Febrero 2019,484.0
Administración General ,920,22110,2019-03-28,B80377971,D.S. LINEA VERDE S.L.,Fra. CASA CONSISTORIAL,37.61
Administración General ,920,22605,2019-03-28,014305415J,"QUINTANA*DAIMIEL,FERNANDO",Fra Colegio Registradores enero 2019 PAGADO,21.83
Administración General ,920,22605,2019-03-28,014305415J,"QUINTANA*DAIMIEL,FERNANDO","Fra. ASIENTO 4451/48, CANCELACINO FIDEICOMISO FELIPE GARCIA GAMELLA",1018.77
Administración General ,920,22709,2019-03-28,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-03-28,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22721,2019-03-28,B82561267,DAVARA & DAVARA ASESORES JURIDICOS S L,Fra. DPO enero,937.75
Juventud,339,22609,2019-03-29,0.0,0.0,EXPTE 2512/2019 VIAJE JOVEN PORT AVENTURA EXPTE 2837/2019 P.JUSTIFICAR,800.0
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427687 Resumen por Servicio - Abono/Ref,Factura: 918427687 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",18.67
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427686 Resumen por Servicio - Abono/Ref,Factura: 918427686 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",155.53
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421342 Resumen por Servicio - Abono/Ref,Factura: 918421342 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Inter",79.5
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578586 Resumen por Servicio - Abono/Ref,Factura: 918578586 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Fibra 600 Mb Simétricos (01 Dic, a 31 Dic, 1",99.4
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421048 Resumen por Servicio - Abono/Ref,Factura: 918421048 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Voz - Línea individual (01 Ene, a 31 Ene, 19)",17.4
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421168 Resumen por Servicio - Abono/Ref,Factura: 918421168 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",19.72
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421342 Resumen por Servicio - Abono/Ref,Factura: 918421342 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) Periodo regular de tráfico (01 Ene, a 31 Ene, 19) - Inter",82.11
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578586 Resumen por Servicio - Abono/Ref,Factura: 918578586 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",102.02
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421342 Resumen por Servicio - Abono/Ref,Factura: 918421342 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) Periodo regular de tráfico (01 Feb, a 28 Feb, 19) - Inter",82.5
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578586 Resumen por Servicio - Abono/Ref,Factura: 918578586 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Fibra 600 Mb Simétricos (01 Feb, a 28 Feb, 1",102.4
Protección civil,135,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427686 Resumen por Servicio - Abono/Ref,Factura: 918427686 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",77.76
Vías públicas,153,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578768 Resumen por Servicio - Abono/Ref,Factura: 918578768 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Inter",55.51
Vías públicas,153,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578768 Resumen por Servicio - Abono/Ref,Factura: 918578768 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) Periodo regular de tráfico (01 Ene, a 31 Ene, 19) - Inter",54.66
Vías públicas,153,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578768 Resumen por Servicio - Abono/Ref,Factura: 918578768 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Movistar ADSL hasta 10Mb (01 Feb, a 28 Feb,",28.58
Administración General de servicios sociales,230,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427415 Resumen por Servicio - Abono/Ref,Factura: 918427415 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",17.59
Administración General de servicios sociales,230,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918579959 Resumen por Servicio - Abono/Ref,Factura: 918579959 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",21.7
Administración General de servicios sociales,230,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427980 Resumen por Servicio - Abono/Ref,Factura: 918427980 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Fibra 600 Mb Simétricos (01 Dic, a 31 Dic, 1",85.72
Administración General de servicios sociales,230,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918579959 Resumen por Servicio - Abono/Ref,Factura: 918579959 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) Periodo regular de tráfico (01 Ene, a 31 Ene, 19) - Voz -",22.2
Administración General de servicios sociales,230,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427980 Resumen por Servicio - Abono/Ref,Factura: 918427980 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",88.33
Administración General de servicios sociales,230,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421355 Resumen por Servicio - Abono/Ref,Factura: 918421355 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",175.12
Administración General de servicios sociales,230,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427980 Resumen por Servicio - Abono/Ref,Factura: 918427980 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Fibra 600 Mb Simétricos (01 Feb, a 28 Feb, 1",88.72
Asistencia a personas dependientes,234,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577405 Resumen por Servicio - Abono/Ref,Factura: 918577405 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",17.61
Asistencia a personas dependientes,234,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578448 Resumen por Servicio - Abono/Ref,Factura: 918578448 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Fibra 600 Mb Simétricos (01 Dic, a 31 Dic, 1",87.4
Asistencia a personas dependientes,234,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578448 Resumen por Servicio - Abono/Ref,Factura: 918578448 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",90.01
Asistencia a personas dependientes,234,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421355 Resumen por Servicio - Abono/Ref,Factura: 918421355 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",43.78
Asistencia a personas dependientes,234,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578448 Resumen por Servicio - Abono/Ref,Factura: 918578448 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Fibra 600 Mb Simétricos (01 Feb, a 28 Feb, 1",90.4
Administración general de educación,320,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421266 Resumen por Servicio - Abono/Ref,Factura: 918421266 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",19.59
Administración general de educación,320,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421171 Resumen por Servicio - Abono/Ref,Factura: 918421171 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",19.72
Administración general de educación,320,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427566 Resumen por Servicio - Abono/Ref,Factura: 918427566 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Inter",76.48
Administración general de educación,320,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421348 Resumen por Servicio - Abono/Ref,Factura: 918421348 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",19.95
Administración general de educación,320,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427566 Resumen por Servicio - Abono/Ref,Factura: 918427566 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) Periodo regular de tráfico (01 Ene, a 31 Ene, 19) - Inter",80.62
Administración general de educación,320,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427566 Resumen por Servicio - Abono/Ref,Factura: 918427566 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) Periodo regular de tráfico (01 Feb, a 28 Feb, 19) - Inter",82.3
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427930 Resumen por Servicio - Abono/Ref,Factura: 918427930 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Movistar ADSL hasta 10 Mb, (01 Dic, a 31 Dic",57.4
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918588728 Resumen por Servicio - Abono/Ref,Factura: 918588728 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Fibra 600 Mb Simétricos (01 Dic, a 31 Dic, 1",87.4
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427188 Resumen por Servicio - Abono/Ref,Factura: 918427188 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",17.62
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918588728 Resumen por Servicio - Abono/Ref,Factura: 918588728 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",90.01
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427930 Resumen por Servicio - Abono/Ref,Factura: 918427930 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Movistar ADSL hasta 10 Mb, (01 Ene, a 31 Ene",60.02
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421355 Resumen por Servicio - Abono/Ref,Factura: 918421355 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",43.78
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427930 Resumen por Servicio - Abono/Ref,Factura: 918427930 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Movistar ADSL hasta 10 Mb, (01 Feb, a 28 Feb",33.67
Bibliotecas y Archivos,332,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918588728 Resumen por Servicio - Abono/Ref,Factura: 918588728 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Fibra 600 Mb Simétricos (01 Feb, a 28 Feb, 1",90.4
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918780332 Resumen por Servicio - Abono/Ref,Factura: 918780332 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Fibra 600 Mb Simétricos (01 Dic, a 31 Dic, 1",87.4
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427762 Resumen por Servicio - Abono/Ref,Factura: 918427762 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",19.98
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918428173 Resumen por Servicio - Abono/Ref,Factura: 918428173 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Voz - Línea individual (01 Ene, a 31 Ene, 19)",17.4
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577600 Resumen por Servicio - Abono/Ref,Factura: 918577600 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Fibra 600 Mb Simétricos (01 Dic, a 31 Dic, 1",79.5
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577600 Resumen por Servicio - Abono/Ref,Factura: 918577600 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",82.11
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577960 Resumen por Servicio - Abono/Ref,Factura: 918577960 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Voz - Línea individual (21 Ene, a 31 Ene, 19)",1.82
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918780332 Resumen por Servicio - Abono/Ref,Factura: 918780332 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",90.01
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421355 Resumen por Servicio - Abono/Ref,Factura: 918421355 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",109.45
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577600 Resumen por Servicio - Abono/Ref,Factura: 918577600 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Fibra 600 Mb Simétricos (01 Feb, a 28 Feb, 1",82.5
Promoción cultural,334,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918780332 Resumen por Servicio - Abono/Ref,Factura: 918780332 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Fibra 600 Mb Simétricos (01 Feb, a 28 Feb, 1",90.4
Instalaciones de ocupación del tiempo libre,337,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918428063 Resumen por Servicio - Abono/Ref,Factura: 918428063 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Voz - Línea individual (01 Ene, a 31 Ene, 19)",17.4
Instalaciones de ocupación del tiempo libre,337,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577960 Resumen por Servicio - Abono/Ref,Factura: 918577960 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",30.24
Instalaciones de ocupación del tiempo libre,337,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918428063 Resumen por Servicio - Abono/Ref,Factura: 918428063 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Voz - Línea individual (01 Feb, a 28 Feb, 19)",17.4
Juventud,339,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577987 Resumen por Servicio - Abono/Ref,Factura: 918577987 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Inter",39.51
Administración General de Deportes,340,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427269 Resumen por Servicio - Abono/Ref,Factura: 918427269 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Movistar ADSL hasta 10Mb (01 Dic, a 31 Dic,",52.3
Administración General de Deportes,340,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427041 Resumen por Servicio - Abono/Ref,Factura: 918427041 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",19.41
Administración General de Deportes,340,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427269 Resumen por Servicio - Abono/Ref,Factura: 918427269 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Movistar ADSL hasta 10Mb (01 Ene, a 31 Ene,",54.91
Administración General de Deportes,340,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421355 Resumen por Servicio - Abono/Ref,Factura: 918421355 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",109.45
Administración General de Deportes,340,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427269 Resumen por Servicio - Abono/Ref,Factura: 918427269 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Movistar ADSL hasta 10Mb (01 Feb, a 28 Feb,",28.58
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 28332720011 Servicios red centralitas - Abono/Ref,Factura: 28332720011 - Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Servicios red centralitas - Llamadas Automáti",18.76
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427686 Resumen por Servicio - Abono/Ref,Factura: 918427686 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",71.52
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427648 Resumen por Servicio - Abono/Ref,Factura: 918427648 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Voz - Línea individual (01 Ene, a 31 Ene, 19)",35.4
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918428155 Resumen por Servicio - Abono/Ref,Factura: 918428155 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Voz - Línea individual (01 Ene, a 31 Ene, 19)",17.4
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577057 Resumen por Servicio - Abono/Ref,Factura: 918577057 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) - Internet - Fibra 600 Mb Simétricos (01 Dic, a 31 Dic, 1",88.61
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578055 Resumen por Servicio - Abono/Ref,Factura: 918578055 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Inter",100.41
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918579962 Resumen por Servicio - Abono/Ref,Factura: 918579962 - Periodo regular de cuotas (01 Ene, a 31 Ene, 19) Periodo regular de tráfico (01 Dic, a 31 Dic, 18) - Voz -",21.68
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578055 Resumen por Servicio - Abono/Ref,Factura: 918578055 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) Periodo regular de tráfico (01 Ene, a 31 Ene, 19) - Inter",103.87
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918427648 Resumen por Servicio - Abono/Ref,Factura: 918427648 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Voz - Línea individual (01 Feb, a 28 Feb, 19)",36.68
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577057 Resumen por Servicio - Abono/Ref,Factura: 918577057 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",91.22
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918421355 Resumen por Servicio - Abono/Ref,Factura: 918421355 - Periodo regular de cuotas (01 Feb, a 28 Feb, 19) - Internet - Fibra 600 Mb Simétricos (01 Ene, a 31 Ene, 1",924.0
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918578055 Resumen por Servicio - Abono/Ref,Factura: 918578055 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) Periodo regular de tráfico (01 Feb, a 28 Feb, 19) - Inter",104.83
Administración General ,920,22200,2019-04-01,A82018474,TELEFONICA DE ESPAÑA SAU,"Fra. 918577057 Resumen por Servicio - Abono/Ref,Factura: 918577057 - Periodo regular de cuotas (01 Mar, a 31 Mar, 19) - Internet - Fibra 600 Mb Simétricos (01 Feb, a 28 Feb, 1",91.61
Administración General ,920,22709,2019-04-01,A08663619,"CAIXABANK, S.A.",CAIXA 1616 INTERESES-COMISIONES-GASTOS,12.0
Administración General ,920,22709,2019-04-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Administración Gral Seguridad y Protección Civil,130,22104,2019-04-02,B82300526,"SOLUCIONES TECNICAS 2000, S.L.",Fra.  HOMBRERAS TEX FLEX HERÁLDICAS DE CABO,92.75
Administración Gral Seguridad y Protección Civil,130,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",3.41
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22200,2019-04-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Feb, a 17 M",2.07
Vías públicas,153,21000,2019-04-02,A08112716,"ACSA OBRAS E INFRAESTRUCTURAS, S.A.U.","Fra. SERVICIOS DE MANTENIMIENTO DE REDES DE SERVICIOS E INFRAESTRUCTURAS PUBLICAS DEL AYUNTAMIENTO DE MORALZARZAL, CERTIFICACIÓN Nº 1 - ENERO 2019, Expediente 8420/2016",6559.97
